Id,Votes
1Lq3ghX6yzJ7MsWXDkgIGQ,0.53022426
zulCqAo_XY9wAefJ58H9Fw,0.34472457
ptm1X6ReMEYg1Y203KXkxQ,0.37877834
JCCe3m0LK7dGGxO4ntoGLg,0.6198724
CeOpuUly_s75QSuHKtfxng,0.36031687
f_npHQr9DblCH634th98eg,0.20790999
vbxsk-vbWpOlpx_hzVANzQ,0.3109842
GGMxcqghneND0JUzgZo85A,0.35649014
sGQe6moDXutDOSSK8h_1WQ,0.40657973
SqN9ixz36WOnVemJ7YyzWg,0.66823983
wSUIU6De7q4z-ofz_2L4gA,0.8220481
FlNn8JKKAC59B6NL97-SSg,0.054893985
LX6L_WKNQPmvY9UVDGmWCQ,0.4183414
0Yv3LLiAE0vNkET_i5zMgw,1.1734742
Wxf_QtNh3tG6VKVg6vkNYA,0.74763536
-F87KP39UTIthblo0zPPHA,1.165323
Rj89qPo8leEW9fVNAtb3Ow,0.64999783
wQ2ibGmY3uW13Cxt7B0AVA,0.2580649
_01X19lpwdl2r7GzBcCSpA,0.5055144
cykSQuOxQ7Tm0hRvplHWDA,0.20411144
ZTb_jCK-Zbakttd-VoyUFA,0.42244923
a0o2nIHKB_q1WLsRKsCBMg,0.8619745
RCEpA6SdpClNns63-VPFMQ,0.51945335
CLR3NbnskwmVd2x4Zn4v8A,0.49246687
eyDJW1m4XK1vqweRcznBew,2.8010635
-42cCcq9_4tJLV3ZfHnHaA,0.77392066
88n3EVZwhRYXkoJuelCfQA,0.37003237
xRWtSmWF9nnT8HHzoe2ACg,0.7443388
W86pCKcclp5c4g-9UI3oOw,0.49937665
Kv2ynuWsD_B41BbpWbIl5A,0.33058268
FMadPMGVn5nX1XOtJa7Jlw,0.44155765
yx2cWLUwerGEL_MJJtsNcQ,0.2001257
37256hOSwA0ZeeY_v_-K6Q,0.99092895
Nx_ex15K7JlrGQ2taJvB8A,0.6562367
Ijf3nKbh0Ob20G9ixAJ_MQ,0.4335007
k0Y-ETFcLH8mvVmNx4iRhA,0.40200207
kEzbOq36XgPv4tx10THhQw,0.3498466
4f5LLGvMzjmXPlJx_Bvkuw,0.6808712
UsXbqhPEF619mC8sYmCjsA,0.90822154
lqIhjppJtkjG4TC4XjgHJw,0.18622488
vu-ITWFoN0g0bL2ZuAJI-Q,0.27455044
beynuU-lRZtY99SP7s-zpA,0.2757994
xCYL9nAJ6Z4PtBbNTN0O_w,0.48979592
w1marIKYBSG1kJPfZFdh0w,0.42787218
SjWQ3dIQeYvxukF2t6BIqw,0.25296187
xnL2tU4ozCeTm0sDLcvNRg,0.5418482
GczmuyZxSpN9oEXbl3E6IA,0.23820342
tnr3Rymy2_5ZSfGXel4AVA,0.7291042
DYjVRFHvuRRUjGN5FGmqoQ,0.47068274
